"";"classe 1";"classe 2";"classe 3";"classe 4"
"marketing";0,001;0,926;0,056;0,095
"igualmente";0,026;0,123;0;0,014
"cerceamento";0;0;0;0,002
"apoio";0;0;0,061;0,017
"tecnologia";0;0,002;0;0,001
"ferramenta";0;0;0;0,692
"consequência";0,006;0;0,002;0
"autorizar";0;0,021;0;0,063
"respectivo";0,004;0;0,842;0,409
"programa";0;0;0;0
"devidamente";0;0,148;0,035;0
"cenário";0,984;0;0,001;0,191
"sérgio";0,092;0;0,817;0,019
"parlamentar";0;0,074;0;0,064
"papel";0,006;0,07;0;0,001
"obter";0,001;0,107;0,947;0
"conceder";0,058;0,009;0,124;0,001
"am4";0,324;0,181;0,242;0,168
"servir";0,107;0,195;0,044;0,214
"reportagem";0,573;0,002;0,959;0,008
"oitiva";0;0;0;0
"hoje";0;0,017;0;0
"gonçalves";0,002;0,009;0,102;0,46
"definir";0,028;0,004;0,241;0,1
"criar";0;0;0,546;0
"pt";0,001;0,003;0,004;0,045
"executivo";0;0;0;0
"conceito";0;0;0,001;0
"regimental";0,01;0;0;0
"litispendência";0;0;0;0,086
"exercer";0,443;0,351;0,002;0
"decreto";0;0,002;0,04;0,001
"anterior";0,504;0,353;0,246;0,006
"publicar";0,057;0;0,001;0,921
"potencial";0,002;0,465;0;0
"og";0;0;0,001;0,524
"mg";0;0;0;0
"igualdade";0;0,001;0;0
"fixar";0;0;0;0,61
"citado";0,166;0,029;0,005;0,242
"veiculação";0;0;0;0,393
"providência";0;0,01;0,747;0
"privado";0,001;0,577;0,011;0
"passado";0;0;0;0
"compor";0;0,03;0;0,008
"beneficiário";0,006;0,001;0;0
"técnica";0,511;0,053;0,004;0
"reforçar";0,069;0;0;0,166
"pretender";0;0,374;0,006;0,009
"emissor";0;0;0;0,882
"discussão";0,003;0,135;0,373;0,408
"critério";0,001;0;0,001;0
"tão";0,003;0,802;0,707;0,009
"maneira";0,063;0,001;0,439;0,047
"ler";0,011;0,564;0;0
"fux";0;0;0;0
"evidente";0,016;0;0,004;0,874
"equilíbrio";0;0;0;0
"empresário";0,058;0,187;0,086;0,064
"alegar";0,023;0,592;0,022;0,352
"propósito";0;0;0;0
"nunes";0,005;0;0;0
"inverídico";0;0;0;0,277
"fernando";0;0;0,001;0,562
"xiv";0;0;0;0
"item";0;0,281;0,096;0
"haddad";0;0;0,039;0,002
"ensejar";0,115;0;0;0
"econômico";0;0,28;0;0
"diálogo";0;0;0;0,002
"dano";0,688;0,178;0;0
"administrativo";0;0,008;0,003;0
"parâmetro";0,064;0;0;0
"narrado";0;0;0;0,281
"imediato";0;0,015;0,024;0,114
"falta";0;0;0,02;0,056
"diferente";0,221;0,241;0,137;0
"ações_de_investigação_judicial_eleitoral";0;0;0;0,871
"tarcisio_vieira_de_carvalho_neto";0;0;0,007;0,109
"seguro";0,031;0,011;0;0,001
"restar";0,657;0,163;0,575;0,015
"posto";0;0,001;0,002;0,247
"jornal";0;0,001;0,801;0,326
"evidência";0,599;0,113;0,003;0,1
"corroborar";0;0,051;0,6;0
"preciso";0,008;0,014;0,932;0,65
"instância";0;0;0,861;0,649
"inserir";0,425;0;0;0
"gustavo";0;0;0;0
"dirigir";0;0;0,238;0,001
"transmitir";0;0;0,086;0
"tampouco";0,027;0,963;0,027;0,737
"multa";0,085;0,336;0;0
"motivo";0;0,006;0,008;0,058
"entanto";0,024;0,729;0,401;0,042
"dispor";0,168;0,028;0,016;0,003
"decidir";0;0,005;0,029;0,731
"controlo";0;0,083;0;0,295
"arts";0,006;0;0;0
"marques";0;0;0,129;0,27
"constante";0;0,012;0,001;0
"barroso";0;0;0;0
"unido";0;0;0,805;0
"narrar";0;0,043;0,119;0,511
"luciano_hang";0;0,13;0,353;0,043
"fornecer";0,012;0,591;0;0,015
"fiscal";0;0,009;0;0
"exposição";0;0;0;0,009
"conseguir";0;0,018;0;0
"alto";0;0,005;0,006;0
"alteração";0,171;0,358;0,917;0,02
"técnico";0;0,006;0;0
"ribeiro";0,019;0,156;0,494;0
"requisição";0;0,001;0,025;0
"quase";0;0;0;0
"publicação";0,1;0;0;0,118
"proteger";0,001;0,001;0;0
"presença";0,137;0;0,128;0,128
"negar";0,108;0,032;0,885;0,744
"josé";0,001;0,682;0,11;0,009
"isonomia";0;0,684;0;0
"iniciativa";0;0,071;0,735;0
"inequívoco";0;0,257;0,009;0
"dito";0;0;0,001;0,004
"continuar";0;0,053;0;0,736
"bancário";0;0;0;0
"prerrogativa";0,022;0,605;0;0
"esclarecimento";0,003;0,032;0;0
"campo";0,473;0,031;0,404;0,025
"união";0,933;0,023;0,035;0,749
"trabalhar";0;0,644;0;0
"risco";0,055;0;0,128;0,002
"logo";0,001;0,12;0,253;0,255
"influenciar";0;0,235;0;0
"incluir";0,068;0;0,003;0,926
"fator";0,919;0,396;0;0
"ódio";0;0;0,082;0
"xvi";0;0;0;0
"rosa";0,329;0;0,069;0,001
"indireto";0,035;0,007;0;0
"imputado";0,676;0;0;0
"atribuir";0,045;0,703;0,067;0,366
"assumir";0;0,001;0,065;0,039
"julgador";0;0;0;0,241
"expressão";0,001;0,577;0;0
"data";0,141;0,025;0,007;0,147
"compartilhamento";0;0;0;0
"postagem";0,004;0;0,023;0,001
"instantâneo";0,003;0,508;0,001;0
"celeridade";0;0;0;0
"causar";0,05;0,044;0;0
"rj";0;0;0;0
"questionar";0,385;0,56;0,002;0,002
"passo";0;0,039;0,027;0,155
"organização";0,001;0;0,174;0
"obstante";0;0,018;0,014;0,973
"ementa";0,615;0;0;0
"começar";0;0,002;0;0
"coletivo";0,003;0;0,012;0,56
"ambiente";0;0;0,187;0,693
"algo";0;0,938;0;0
"vincular";0,378;0,165;0,006;0,911
"supostamente";0,085;0,088;0,078;0,086
"proteção";0,004;0,039;0;0
"potencialidade";0;0;0;0
"missão";0;0;0,349;0
"influência";0;0,148;0,002;0
"referir";0,071;0,352;0,002;0,065
"próximo";0,88;0;0,043;0,001
"proferir";0,001;0,775;0,253;0,005
"problema";0;0,367;0;0
"peça";0;0,41;0,001;0
"outubro";0,005;0,064;0;0,002
"exterior";0;0,593;0;0
"consistir";0,002;0,44;0,029;0,532
"compreender";0,867;0,141;0;0,015
"época";0;0,888;0;0
"rejeição";0;0;0,604;0,147
"referência";0,008;0,137;0,653;0,339
"raul";0,017;0,028;0,492;0,339
"origem";0,626;0;0,039;0
"emprego";0;0,031;0;0
"comum";0;0,268;0,078;0,002
"complementar";0;0;0,001;0,058
"caput";0,562;0;0;0
"bastar";0,526;0,014;0,032;0
"bahia";0,901;0;0;0
"aptar";0,426;0,006;0;0
"alves";0,824;0,026;0,337;0,1
"sufrágio";0;0,05;0;0
"solicitar";0,303;0;0;0
"regional";0,405;0,001;0,861;0
"petição";0;0;0,231;0
"inúmero";0,568;0,003;0,234;0,01
"enfrentar";0,049;0,226;0,822;0,002
"educação";0;0,093;0;0,073
"documentação";0,341;0,33;0;0
"câmara";0;0,002;0;0
"captação";0,001;0;0;0
"adequado";0;0,007;0,012;0,109
"síntese";0;0,041;0;0,784
"parágrafo";0,007;0,001;0;0
"mentira";0;0;0,002;0
"litisconsórcio";0;0;0;0,411
"interlocutório";0;0;0;0
"firmar";0;0;0,001;0,042
"envolvido";0,21;0,093;0,08;0,05
"bastante";0,071;0,352;0,021;0,272
"inexistência";0;0;0,005;0,076
"garantir";0,327;0,762;0,589;0,213
"referente";0;0,152;0,006;0,875
"procedência";0,012;0;0;0
"lives";0;0;0,405;0
"inibitório";0,005;0,314;0;0,375
"inexistir";0;0,001;0,013;0,001
"importar";0,19;0,114;0,014;0,425
"estabilização";0;0;0;0
"denúncia";0,001;0,971;0;0,009
"cármen";0,687;0,159;0,396;0,814
"confirmar";0,008;0,301;0;0,009
"atual";0,385;0;0,067;0,002
"agir";0,003;0;0,943;0,682
"twitter";0,002;0;0,101;0,023
"tutelado";0,003;0;0;0
"total";0,002;0,003;0;0,001
"referendar";0;0;0;0
"pretensão";0;0;0,004;0,002
"preservar";0,385;0,004;0;0
"observação";0,636;0;0,903;0,001
"fundamentação";0;0;0;0,001
"distribuição";0,418;0,319;0;0
"desdobramento";0;0;0;0
"decorrer";0,001;0,405;0;0,403
"suscitado";0;0;0,001;0,009
"supremo";0,003;0;0;0,871
"reconhecimento";0,185;0;0,018;0
"realmente";0,001;0,002;0;0
"esclarecer";0;0;0,124;0
"convicção";0;0;0;0,081
"comunidade";0;0;0,032;0
"cibernético";0,047;0,052;0;0
"atenção";0,02;0;0,153;0,008
"reprovabilidade";0;0;0;0
"proceder";0,001;0,012;0,064;0,546
"pertinência";0;0;0,002;0,001
"mendes";0,384;0;0;0
"lembrar";0,011;0,021;0;0,668
"grifo";0,845;0;0,005;0
"face";0,469;0,421;0,022;0,041
"contrato";0,188;0,157;0,383;0,442
"afetar";0;0,733;0,036;0
"vice_procurador_geral_eleitoral";0,072;0,04;0,856;0,994
"razoável";0;0,003;0;0
"evitar";0,002;0,016;0,189;0,744
"estadual";0;0,688;0,184;0
"diplomático";0;0;0,001;0
"chamado";0,009;0;0,032;0
"vida";0;0,018;0,063;0,436
"secretaria";0;0,011;0;0
"residência";0;0,007;0;0
"orientação";0,001;0;0,001;0
"obrigar";0,812;0,016;0;0
"leitura";0,586;0,593;0,342;0,411
"jornalista";0,294;0,211;0,089;0,091
"ilegitimidade";0;0;0;0
"embargo";0;0;0;0,425
"determinação";0;0,11;0;0
"compra";0,993;0,18;0,024;0,001
"augusto";0;0;0;0,23
"atingir";0,004;0;0,001;0,649
"anúncio";0,002;0;0,001;0,005
"abertura";0,306;0,342;0,708;0,837
"televisão";0;0;0,001;0,841
"prévio";0;0,211;0,222;0,026
"professor";0,053;0,323;0;0,006
"polo";0;0;0;0,036
"mulher";0,132;0;0,015;0
"enviar";0,617;0,399;0,039;0,001
"contato";0;0,032;0;0
"carvalho";0,007;0,002;0;0,689
"araújo";0,013;0,071;0,693;0,232
"ônus";0;0;0;0
"submeter";0;0,093;0;0,041
"rio";0,049;0,022;0,002;0,002
"presunção";0;0;0;0,003
"omissão";0;0;0;0,112
"ofensa";0,87;0,001;0;0
"lúcia";0,958;0,342;0,88;0,435
"independentemente";0;0;0,001;0,008
"incidência";0,772;0,001;0;0
"horário";0;0;0,231;0,005
"expressar";0,033;0,725;0,035;0
"defender";0,929;0,814;0,4;0,363
"intuito";0,203;0,191;0,002;0,004
"google";0,562;0;0,016;0,02
"dj";0,278;0;0;0
"difusão";0;0;0,001;0,006
"conhecido";0,013;0,005;0;0,081
"compartilhar";0,655;0;0,016;0,001
"ciência";0,087;0,014;0,943;0,55
"vivo";0;0;0,124;0
"sugerir";0;0,733;0;0
"nulidade";0;0;0;0,139
"impacto";0,039;0,484;0,002;0
"horbach";0,236;0,002;0,859;0,047
"disseminação";0;0;0,115;0
"certeza";0,552;0,016;0;0
"assunto";0;0,788;0;0
"resolução";0;0;0,001;0,557
"pergunta";0;0,801;0;0
"ouvir";0,916;0,103;0;0
"máximo";0;0,001;0,112;0,276
"integridade";0;0;0,001;0,002
"indicado";0,002;0,74;0,541;0
"gasto";0,994;0,045;0,019;0
"frente";0;0,659;0;0,002
"denominar";0,999;0;0;0,001
"cumprimento";0;0,008;0,877;0,008
"correlação";0;0;0,029;0,004
"absolutamente";0,162;0,015;0,016;0,002
"soberania";0;0,19;0;0
"reafirmar";0,201;0,53;0,099;0,596
"mauro";0,006;0,009;0,27;0,486
"junto";0,11;0,632;0;0
"instrumento";0,007;0;0,004;0,117
"instituto";0,001;0,153;0,001;0,024
"futuro";0,038;0;0,723;0,081
"encaminhar";0,121;0;0;0
"disposto";0,008;0,082;0,048;0,471
"violar";0,245;0,491;0,378;0,804
"título";0,294;0,02;0,332;0,033
"mouro";0,003;0,006;0,304;0,564
"minuto";0;0;0,002;0
"investigante";0,296;0;0;0,071
"fé";0;0,153;0,026;0,035
"escolha";0,121;0;0,003;0,622
"dimensão";0;0;0,001;0
"decadência";0;0;0;0
"confiança";0;0;0;0
"chamar";0;0,002;0;0
"teoria";0;0,643;0,002;0,555
"especializar";0;0,021;0;0,361
"encontro";0;0;0,064;0
"encerrar";0;0,025;0,24;0,029
"ed";0,675;0;0,001;0
"diretor";0,566;0,503;0;0,049
"depender";0,531;0,354;0,008;0,007
"significativo";0;0,643;0,002;0
"responder";0,003;0,025;0;0,004
"melhor";0,052;0,801;0,28;0,001
"gilmar";0,293;0;0;0
"contorno";0,002;0,323;0;0,125
"município";0;0,843;0,088;0,001
"lide";0;0;0;0
"intervenção";0,278;0,001;0,058;0
"inerente";0,108;0,394;0;0,007
"imputar";0,346;0,953;0,001;0
"vitória";0;0;0;0
"temporal";0;0,021;0,035;0
"suspeita";0,016;0,233;0;0,001
"quadro";0;0,146;0,039;0,007
"pec";0;0,076;0;0
"notar";0,478;0,167;0,319;0,2
"jamais";0;0,573;0;0,003
"investigantes";0;0,626;0,006;0,001
"disponível";0;0;0,475;0,001
"delimitar";0;0,014;0;0,064
"decorrente";0,09;0,009;0,002;0
"contido";0;0,102;0,034;0,651
"administração";0;0,032;0,189;0
"acolher";0;0;0,704;0
"acabar";0;0,266;0;0
"vedado";0;0,001;0,001;0
"relevância";0,064;0,659;0,029;0,638
"propor";0;0,69;0,039;0,001
"pesquisa";0;0;0,006;0
"perito";0;0,01;0;0
"particular";0,442;0,596;0,032;0,001
"novamente";0;0,74;0,535;0
"integrar";0,041;0,758;0,324;0,101
"indicação";0;0,002;0,021;0,747
"ilegal";0,028;0,417;0,127;0,867
"consistente";0,533;0,092;0,001;0,46
"consignar";0;0,38;0,001;0,281
"trâmite";0;0;0,863;0
"salientar";0;0,999;0,281;0,002
"sabidamente";0;0;0;0,139
"resultar";0,289;0,13;0,008;0,005
"regular";0,428;0,171;0,001;0,466
"modelo";0,246;0;0,025;0,021
"incompetência";0;0;0;0,02
"identidade";0;0,164;0,01;0,633
"dr";0,334;0,58;0,041;0,167
"cadastro";0;0,058;0,178;0,536
"aceitar";0,004;0,22;0;0
"abordar";0,034;0;0,072;0,003
"verificação";0,001;0,003;0;0
"vencedor";0,006;0,258;0,006;0,486
"resolver";0,469;0;0;0
"neto";0,013;0,43;0,053;0,906
"membro";0,131;0,006;0,006;0
"janeiro";0,035;0,067;0,001;0,009
"integralmente";0;0,014;0,134;0,001
"infundado";0;0;0,168;0,004
"gabinete";0;0,01;0;0
"financiamento";0,82;0;0,004;0,43
"financeiro";0,574;0,988;0,002;0
"favorável";0,001;0;0,126;0,962
"contribuir";0,71;0,025;0,001;0,285
"consubstanciar";0,025;0,679;0;0,594
"cabível";0,001;0,012;0;0,015
"amparar";0;0,001;0,002;0,092
"sugestão";0;0,372;0;0
"souza";0,245;0,031;0,002;0
"resguardar";0,637;0;0;0
"referendo";0;0,018;0,001;0,017
"publicidade";0,5;0,436;0,094;0,145
"propositura";0;0;0;0,004
"irregularidade";0,199;0,08;0,551;0
"gomes";0,001;0;0;0,605
"frança";0;0,098;0;0
"central";0,427;0;0,001;0,002
"sítio";0,002;0;0,003;0,011
"sobretudo";0,19;0,114;0,006;0,605
"reunir";0;0,462;0,183;0,004
"rejeito";0;0;0;0,004
"recorrer";0,329;0,055;0,095;0,541
"preservação";0,03;0,163;0,004;0
"pp";0,078;0,046;0;0
"posterior";0;0,69;0,112;0,024
"meramente";0;0,008;0,001;0,002
"físico";0,285;0,102;0,266;0,126
"especializado";0,001;0,889;0;0,008
"entrar";0;0,001;0;0
"desenvolvimento";0,085;0,242;0,119;0,098
"cuidar";0,693;0,315;0,183;0,008
"campbell";0;0,003;0,017;0,629
"artigo";0,795;0,001;0,042;0
"absoluto";0;0,006;0,071;0,911
"retirar";0,005;0,037;0,27;0,058
"qualidade";0,161;0,001;0,015;0,007
"plano";0,018;0,003;0,003;0,024
"interno";0,751;0,493;0,713;0,981
"exigência";0;0,025;0;0,045
"exclusivamente";0,751;0,043;0,582;0,054
"contratar";0,507;0,096;0,135;0,285
"comentário";0;0;0,071;0
"cogitar";0,013;0,044;0,009;0,078
"apontado";0;0,008;0,248;0,568
"virtude";0,004;0,001;0,014;0,016
"virtual";0,001;0;0;0,141
"tratamento";0,025;0,588;0,004;0
"texto";0,058;0,112;0,959;0,637
"sigiloso";0,004;0,801;0;0
"local";0;0;0,002;0,047
"expressamente";0,002;0,474;0,439;0,001
"cobertura";0;0;0;0,001
"auditoria";0;0,36;0;0
"weber";0,128;0;0,336;0
"unanimidade";0;0,037;0,748;0,01
"tópico";0,008;0,202;0,439;0,001
"tentativa";0,021;0,282;0;0,023
"pronunciamento";0,923;0;0,01;0,002
"população";0;0;0;0
"partidário";0,06;0,339;0,004;0,681
"parcialmente";0;0,004;0,031;0,382
"merecer";0,536;0,816;0,047;0,368
"justamente";0,527;0,382;0,729;0,917
"jogo";0;0,932;0,911;0
"interpretação";0,079;0,003;0,255;0,03
"estatal";0,186;0,662;0,001;0,267
"divergência";0;0,001;0,071;0,008
"difundir";0;0;0;0
"severo";0,165;0,021;0;0,006
"ricardo";0,122;0,044;0,162;0,379
"notadamente";0,789;0,13;0,003;0
"menção";0;0;0,116;0,012
"impossibilidade";0,135;0,194;0,017;0,059
"eventualmente";0;0,044;0,047;0,587
"eletivo";0,012;0;0;0
"direcionar";0;0;0,045;0,329
"ótica";0,289;0,019;0;0
"superveniente";0;0;0;0,002
"repercutir";0,877;0,328;0,006;0,097
"regularidade";0;0;0,01;0,119
"preocupação";0,387;0,115;0,022;0,642
"pdt";0,014;0,58;0;0,055
"pagar";0,003;0;0,6;0,181
"oferecer";0,294;0;0,724;0,007
"nunca";0,004;0,804;0;0,001
"noticiar";0,002;0;0,413;0,001
"ilicitude";0,041;0,005;0;0
"igual";0,425;0,7;0,011;0,292
"explicar";0,041;0,816;0;0,001
"episódio";0,003;0;0,409;0,339
"desproporcional";0;0,005;0;0
"conhecer";0,068;0,815;0,103;0
"apurado";0,088;0,033;0,817;0,587
"anteriormente";0,003;0,014;0,115;0,446
"antecipado";0,018;0,094;0,001;0
"alcançar";0;0;0,003;0,001
"procuradoria";0;0,018;0,617;0,143
"previsão";0,026;0;0,001;0
"ipl";0;0,339;0;0
"intimação";0,007;0,071;0,51;0,095
"desprover";0,165;0,007;0,001;0
"desequilíbrio";0;0,003;0;0
"convidado";0;0,006;0;0
"conversa";0;0,123;0;0,495
"caixa";0,038;0,552;0,024;0,678
"ausente";0;0,002;0;0,442
"atentar";0,016;0,214;0,115;0,014
"aguardar";0;0;0,152;0
"vênias";0;0,001;0,167;0,011
"sujeito";0;0,073;0;0,41
"relacionado";0,002;0,241;0,05;0,006
"possibilitar";0;0;0,001;0,177
"necessariamente";0,842;0,003;0,002;0
"nação";0;0;0,176;0,001
"mudar";0,007;0,024;0;0
"mobilização";0;0;0,001;0,011
"impugnar";0,004;0,144;0,001;0,184
"governador";0;0;0,118;0,189
"excepcional";0,041;0;0,104;0
"duração";0;0,382;0;0,001
"disseminar";0;0;0,117;0,007
"construir";0,131;0;0,003;0,047
"colegiado";0;0;0;0,001
"ampliação";0;0;0;0
"ameaça";0;0;0,041;0
"agência";0,011;0;0,271;0,138
"transparente";0;0,164;0;0,633
"pertinente";0,001;0,364;0,014;0,568
"perceber";0,307;0;0,373;0
"pedro";0;0,012;0;0,402
"organizar";0,009;0;0,034;0,111
"mencionado";0,7;0,628;0,017;0,002
"indispensável";0,001;0,007;0,002;0,043
"humano";0,001;0;0,029;0
"formar";0;0,241;0,095;0,09
"estabilidade";0,131;0,98;0,116;0,002
"discursivo";0;0;0,209;0,319
"versão";0,115;0,663;0,217;0,001
"usado";0;0,024;0,325;0,1
"regime";0,009;0,978;0,001;0
"perícia";0,002;0;0;0,004
"outdoors";0,697;0,743;0,001;0
"ministerial";0;0,033;0,001;0,016
"inépcia";0;0;0;0,001
"iniciar";0,876;0,05;0,114;0,001
"incontroverso";0,198;0;0,001;0,127
"fundo";0,024;0,329;0,926;0,127
"funcionamento";0;0;0,635;0,867
"forte";0,03;0,196;0,001;0,051
"documental";0;0,033;0,012;0
"comunicar";0;0;0,509;0
"atacar";0;0;0,043;0,002
"asseverar";0,807;0,512;0,246;0,143
"agradecer";0,004;0;0;0
"turma";0,001;0;0,002;0
"recusar";0;0;0;0,003
"reclamar";0,002;0;0,84;0
"prejudicar";0,063;0,005;0,13;0,6
"posteriormente";0,002;0,25;0,69;0,011
"perpetrar";0,001;0,431;0,001;0
"peixe";0;0;0;0
"ostentar";0,173;0,058;0;0
"investigativo";0;0,006;0,004;0
"henrique";0,001;0;0,009;0
"diferença";0,057;0,584;0,658;0,269
"detrimento";0,078;0,003;0,001;0
"capacidade";0,326;0;0,001;0,018
"apreciação";0;0;0,001;0,069
"acarretar";0,012;0,861;0,001;0,804
"youtube";0;0;0,009;0
"titular";0,281;0;0,078;0
"testemunhal";0;0,005;0;0
"site";0,003;0;0,583;0,036
"senha";0;0;0;0
"secretária";0;0,009;0;0,923
"requerente";0;0,921;0,001;0,092
"promoção";0;0;0,002;0,587
"obra";0;0;0;0,438
"mello";0,098;0,006;0,001;0
"fenômeno";0,277;0;0;0,001
"explícito";0;0,002;0,408;0,016
"desenvolver";0,041;0,002;0,01;0,003
"criminal";0,141;0;0,001;0,824
"crer";0,012;0,241;0,201;0,006
"arma";0;0,364;0,033;0
"antônio_hamilton_martins_mourão";0,07;0,005;0,226;0,041
"acordo";0,423;0,154;0,585;0,923
"visão";0,539;0;0,003;0,001
"vencer";0,364;0,524;0,989;0,751
"vantagem";0;0,008;0,006;0
