*dec_509190;41;61;3;123
*rel_Jorge;676;609;156;719
*dec_304322;23;33;3;67
*dec_3232531;57;35;6;47
*rel_Og;106;74;10;52
*rel_Edson;1205;2097;2125;1050
*dec_2975030;10;47;3;14
*ano_2020;1416;2197;2143;1245
*ano_2021;82;226;44;153
*ano_2022;1831;829;329;1265
*ano_2023;838;162;203;339
*dec_2673321;447;237;68;334
*dec_2673006;451;235;73;329
*rel_Benedito;2634;897;527;1574
*dec_3271816;49;39;4;5
*dec_513575;34;12;0;37
*dec_3238332;38;69;9;26
*dec_2955969;13;42;6;23
*dec_2964273;32;36;108;77
*rel_Alexandre;25;47;2;16
*dec_1396358;27;5;1;25
*dec_1180579;197;27;42;39
*dec_3290788;122;137;26;104
*dec_3265892;1082;2002;2114;995
*dec_513600;36;113;14;141
*dec_2975009;25;47;2;16
*dec_1416496;124;46;12;168
*dec_304675;53;10;2;77
*dec_1401652;217;50;62;111
*dec_1399550;57;21;18;37
*rel_Mauro;62;63;9;80
*ano_2019;484;421;137;394
*ano_2018;192;188;19;325
*dec_2993810;7;24;10;13
*dec_3290757;38;152;80;91
*dec_2993816;40;94;30;51
*dec_3278444;249;59;28;39
*dec_514196;71;11;1;81
*dec_1410227;368;37;21;135
*dec_2993838;12;75;1;22
*rel_Luis;135;236;46;230
*dec_1408677;128;9;19;14
*dec_1399587;212;50;61;113
*dec_1410228;336;36;23;142
*dec_525750;85;64;4;103
*dec_2955492;19;28;2;14
*dec_2955491;6;38;11;13
*dec_304489;52;16;6;66
*dec_3237371;85;26;2;29